06-05 00:03:54.416 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.416Z | DRIVE_TRACE_CAMERA | {"t":1780610634416,"seq":2457,"gpsTickId":1780610633921,"gpsTickAgeMs":399,"lat":51.320259,"lng":19.108291,"hdg":187,"speedKmh":54.7,"exploring":false,"frameMoveM":0}
06-05 00:03:54.480 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.480Z | MARKER_UI_SMOOTH | {"t":1780610634480,"seq":2458,"gpsTickId":1780610633921,"gpsTickAgeMs":463,"lat":51.32025,"lng":19.108291,"hdg":185,"uiMoveM":0.8,"uiHdgDeltaDeg":7,"msSinceCommit":32,"svGapM":null}
06-05 00:03:54.497 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.497Z | CAMERA_PIPELINE | {"t":1780610634497,"seq":2459,"gpsTickId":1780610633921,"gpsTickAgeMs":480,"lat":51.320248,"lng":19.108291,"hintHdg":187,"followHdg":179,"camHdgFlipDeg":8,"speedKmh":55,"frameMoveM":0,"rawGapM":1.3,"segMs":380,"msSinceCamPush":18,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:54.569 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.568Z | DRIVE_TRACE_CAMERA | {"t":1780610634568,"seq":2460,"gpsTickId":1780610633921,"gpsTickAgeMs":551,"lat":51.320238,"lng":19.108289,"hdg":187,"speedKmh":54.7,"exploring":false,"frameMoveM":0}
06-05 00:03:54.580 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.580Z | MARKER_UI_SMOOTH | {"t":1780610634580,"seq":2461,"gpsTickId":1780610633921,"gpsTickAgeMs":563,"lat":51.320236,"lng":19.108289,"hdg":187,"uiMoveM":0.5,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:54.619 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.619Z | CAMERA_PIPELINE | {"t":1780610634619,"seq":2462,"gpsTickId":1780610633921,"gpsTickAgeMs":602,"lat":51.320232,"lng":19.108288,"hintHdg":187,"followHdg":187,"camHdgFlipDeg":0,"speedKmh":55,"frameMoveM":0,"rawGapM":3,"segMs":380,"msSinceCamPush":23,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:54.698 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.698Z | MARKER_UI_SMOOTH | {"t":1780610634698,"seq":2463,"gpsTickId":1780610633921,"gpsTickAgeMs":681,"lat":51.32022,"lng":19.108285,"hdg":187,"uiMoveM":0.5,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:54.730 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.730Z | DRIVE_TRACE_CAMERA | {"t":1780610634730,"seq":2464,"gpsTickId":1780610633921,"gpsTickAgeMs":713,"lat":51.320216,"lng":19.108285,"hdg":187,"speedKmh":54.7,"exploring":false,"frameMoveM":0}
06-05 00:03:54.746 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.746Z | CAMERA_PIPELINE | {"t":1780610634746,"seq":2465,"gpsTickId":1780610633921,"gpsTickAgeMs":729,"lat":51.320214,"lng":19.108284,"hintHdg":187,"followHdg":187,"camHdgFlipDeg":0,"speedKmh":55,"frameMoveM":0,"rawGapM":5.1,"segMs":380,"msSinceCamPush":16,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:54.830 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.830Z | CAMERA_HEADING | {"t":1780610634830,"speedKmh":55,"movedM":0.25,"moveBearing":187,"snapHdg":187,"headingOut":187,"flipFromPrevDeg":0,"lookaheadM":47,"nativeFollow":true,"frameDtMs":17,"impliedKmh":54,"followFromWorklet":true}
06-05 00:03:54.831 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.831Z | MARKER_UI_SMOOTH | {"t":1780610634831,"seq":2466,"gpsTickId":1780610633921,"gpsTickAgeMs":814,"lat":51.320202,"lng":19.108282,"hdg":187,"uiMoveM":0.5,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:54.880 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.880Z | CAMERA_PIPELINE | {"t":1780610634880,"seq":2467,"gpsTickId":1780610633921,"gpsTickAgeMs":863,"lat":51.320196,"lng":19.108281,"hintHdg":187,"followHdg":187,"camHdgFlipDeg":0,"speedKmh":55,"frameMoveM":0,"rawGapM":7.1,"segMs":380,"msSinceCamPush":17,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:54.880 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.880Z | DRIVE_TRACE_CAMERA | {"t":1780610634880,"seq":2468,"gpsTickId":1780610633921,"gpsTickAgeMs":863,"lat":51.320196,"lng":19.108281,"hdg":187,"speedKmh":54.7,"exploring":false,"frameMoveM":0}
06-05 00:03:54.938 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.938Z | RAW_GPS_TICK | {"t":1780610634938,"gpsTickId":1780610634922,"gpsTickAgeMs":0,"lat":51.320122,"lng":19.108279,"speed":15.22,"speedKmh":54.8,"accuracy":4,"osTimestamp":1780610634922,"tripActive":true,"appState":"active"}
06-05 00:03:54.938 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.938Z | DRIVE_TRACE_RAW | {"t":1780610634938,"seq":2469,"gpsTickId":1780610634922,"gpsTickAgeMs":0,"rawLat":51.320122,"rawLng":19.108279,"accM":4,"speedKmh":54.8,"speedMs":15.2,"heading":183,"tripActive":true,"driving":true,"navigating":false,"osTimestamp":1780610634922}
06-05 00:03:54.938 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.938Z | DRIVE_API | {"allow":false,"trigger":null,"crossTrackM":59.5,"buffered":5,"throttleBlocked":true}
06-05 00:03:54.939 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.939Z | MARKER_RAW_CATCHUP | {"t":1780610634939,"hudKmh":55,"rawLat":51.32012,"rawLng":19.10828}
06-05 00:03:54.941 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.941Z | DRIVE_TRACE_FEED | {"t":1780610634941,"seq":2470,"gpsTickId":1780610634922,"gpsTickAgeMs":3,"lat":51.320122,"lng":19.108279,"hdg":184,"durationMs":380,"speedKmh":54.8}
06-05 00:03:54.941 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.941Z | MARKER_PIPELINE | {"t":1780610634941,"seq":2471,"gpsTickId":1780610634922,"gpsTickAgeMs":3,"rawLat":51.320122,"rawLng":19.108279,"engineSnapLat":51.320655,"engineSnapLng":19.108426,"displayLat":51.320122,"displayLng":19.108279,"displayHdg":184,"svLat":51.320191,"svLng":19.10828,"svHdg":187,"markerRawGapM":0,"svGapM":7.7,"hdgFlipDeg":3,"pushSegM":15.3,"feedDurMs":380,"feedSpeedMs":15.2,"hudKmh":54.8,"engineKmh":0,"crossTrackM":59.5,"catchupSoft":true,"onRoad":false,"chaseM":0,"parkedLike":false}
06-05 00:03:54.941 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.941Z | DRIVE_TRACE_TICK | {"t":1780610634941,"seq":2472,"gpsTickId":1780610634922,"gpsTickAgeMs":3,"rawLat":51.320122,"rawLng":19.108279,"snapLat":51.320122,"snapLng":19.108279,"markerLat":51.320122,"markerLng":19.108279,"markerHdg":184,"markerSvLat":51.320191,"markerSvLng":19.10828,"markerSvHdg":187,"accM":4,"hudKmh":54.8,"engineKmh":0,"dopplerKmh":54.8,"feedDurMs":380,"cadenceMs":989,"feedSpeedMs":15.2,"isNavigating":false,"isFreeDrive":true,"isMoving":true,"feedSkipGate":false,"feedAccepted":true,"feedHeadingOnly":false,"source":"drive_core_v2","markerRawGapM":0,"svGapM":7.7,"hdgFlipDeg":3,"pushSegM":15.3,"catchupSoft":true,"onRoad":false,"chaseM":0,"engineSnapLat":51.320655,"engineSnapLng":19.108426,"crossTrackM":59.5}
06-05 00:03:54.941 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.941Z | GPS_ACCEPT | {"lat":51.320122,"lng":19.108279,"acc":4,"speedKmh":59.7,"gpsLock":true}
06-05 00:03:54.972 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.972Z | MARKER_UI_SMOOTH | {"t":1780610634972,"seq":2473,"gpsTickId":1780610634922,"gpsTickAgeMs":34,"lat":51.320187,"lng":19.10828,"hdg":181,"uiMoveM":0.4,"uiHdgDeltaDeg":6,"msSinceCommit":32,"svGapM":null}
06-05 00:03:55.015 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.015Z | CAMERA_PIPELINE | {"t":1780610635015,"seq":2474,"gpsTickId":1780610634922,"gpsTickAgeMs":77,"lat":51.320178,"lng":19.10828,"hintHdg":184,"followHdg":181,"camHdgFlipDeg":3,"speedKmh":55,"frameMoveM":0,"rawGapM":6.2,"segMs":380,"msSinceCamPush":19,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:55.030 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.030Z | DRIVE_TRACE_CAMERA | {"t":1780610635030,"seq":2475,"gpsTickId":1780610634922,"gpsTickAgeMs":92,"lat":51.320175,"lng":19.10828,"hdg":184,"speedKmh":54.8,"exploring":false,"frameMoveM":0}
06-05 00:03:55.114 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.113Z | MARKER_UI_SMOOTH | {"t":1780610635113,"seq":2476,"gpsTickId":1780610634922,"gpsTickAgeMs":175,"lat":51.32016,"lng":19.108279,"hdg":180,"uiMoveM":1,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:55.146 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.146Z | CAMERA_PIPELINE | {"t":1780610635146,"seq":2477,"gpsTickId":1780610634922,"gpsTickAgeMs":208,"lat":51.320154,"lng":19.108279,"hintHdg":184,"followHdg":180,"camHdgFlipDeg":4,"speedKmh":55,"frameMoveM":0,"rawGapM":3.5,"segMs":380,"msSinceCamPush":16,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:55.180 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.180Z | DRIVE_TRACE_CAMERA | {"t":1780610635180,"seq":2478,"gpsTickId":1780610634922,"gpsTickAgeMs":242,"lat":51.320148,"lng":19.108279,"hdg":180,"speedKmh":54.8,"exploring":false,"frameMoveM":0}
06-05 00:03:55.214 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.214Z | MARKER_UI_SMOOTH | {"t":1780610635214,"seq":2479,"gpsTickId":1780610634922,"gpsTickAgeMs":276,"lat":51.320141,"lng":19.108279,"hdg":180,"uiMoveM":0.7,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:55.230 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.230Z | CAMERA_HEADING | {"t":1780610635230,"speedKmh":55,"movedM":0.32,"moveBearing":180,"snapHdg":180,"headingOut":180,"flipFromPrevDeg":0,"lookaheadM":47,"nativeFollow":true,"frameDtMs":17,"impliedKmh":69,"followFromWorklet":true}
06-05 00:03:55.230 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.230Z | CAM_FOLLOW_PUSH | {"t":1780610635230,"lat":51.320138,"lng":19.108279,"hdg":180,"snapHdg":184,"speedKmh":55,"exploring":false,"source":"drive_marker_sv_60fps"}
06-05 00:03:55.280 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.280Z | CAMERA_PIPELINE | {"t":1780610635280,"seq":2480,"gpsTickId":1780610634922,"gpsTickAgeMs":342,"lat":51.320129,"lng":19.108279,"hintHdg":184,"followHdg":184,"camHdgFlipDeg":0,"speedKmh":55,"frameMoveM":0,"rawGapM":0.8,"segMs":380,"msSinceCamPush":17,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:55.314 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.314Z | MARKER_UI_SMOOTH | {"t":1780610635314,"seq":2481,"gpsTickId":1780610634922,"gpsTickAgeMs":376,"lat":51.320123,"lng":19.108279,"hdg":180,"uiMoveM":0.7,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:55.330 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.330Z | DRIVE_TRACE_CAMERA | {"t":1780610635330,"seq":2482,"gpsTickId":1780610634922,"gpsTickAgeMs":392,"lat":51.320122,"lng":19.108279,"hdg":180,"speedKmh":54.8,"exploring":false,"frameMoveM":0}
06-05 00:03:55.413 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:55.413Z | CAMERA_PIPELINE | {"t":1780610635413,"seq":2483,"gpsTickId":1780610634922,"gpsTickAgeMs":475,"lat":51.32011,"lng":19.108278,"hintHdg":184,"followHdg":186,"camHdgFlipDeg":2,"speedKmh":55,"frameMoveM":0,"rawGapM":1.3,"segMs":380,"msSinceCamPush":16,"offRoute":false,"source":"drive_marker_sv"}
